,Time,Temp,Hum,DEWI
0,2022-01-05 01:00:00,17.7,39,3.6
1,2022-01-05 03:30:00,19.2,42,
2,2022-01-05 04:00:00,19.1,42,5.9
3,2022-01-05 05:00:00,18.8,43,
4,2022-01-05 05:30:00,18.8,43,
5,2022-01-05 06:00:00,18.8,43,
6,2022-01-05 06:30:00,18.7,43,5.9
7,2022-01-05 07:00:00,20.1,43,7.2
8,2022-01-05 07:30:00,20.5,42,7.2
9,2022-01-05 08:00:00,21.0,41,7.3
10,2022-01-05 08:30:00,21.3,42,7.9
11,2022-01-05 09:00:00,21.5,42,8.1
12,2022-01-05 09:30:00,21.7,42,8.3
13,2022-01-05 10:00:00,21.8,43,8.7
14,2022-01-05 10:30:00,21.9,43,8.8
15,2022-01-05 11:00:00,22.0,44,9.2
16,2022-01-05 11:30:00,22.0,44,9.2
17,2022-01-05 12:00:00,22.0,44,9.2
18,2022-01-05 12:30:00,22.3,44,9.5
19,2022-01-05 13:00:00,22.3,44,9.5
20,2022-01-05 13:30:00,22.3,49,11.1
21,2022-01-05 14:00:00,23.1,45,10.5
22,2022-01-05 14:30:00,22.5,46,10.3
23,2022-01-05 15:00:00,21.8,42,8.3
24,2022-01-05 15:30:00,19.2,46,7.3
25,2022-01-05 16:00:00,18.9,47,7.4
26,2022-01-05 16:30:00,18.6,48,7.4
27,2022-01-05 17:00:00,18.6,49,7.7
28,2022-01-05 17:30:00,18.7,57,10.0
29,2022-01-05 18:00:00,18.4,54,8.9
30,2022-01-05 18:30:00,17.7,52,7.7
31,2022-01-05 19:00:00,21.2,58,12.6
32,2022-01-05 19:30:00,21.2,59,12.9
33,2022-01-05 20:00:00,21.4,59,13.1
34,2022-01-05 20:30:00,21.4,59,13.1
35,2022-01-05 21:00:00,21.4,60,13.3
36,2022-01-05 21:30:00,21.7,59,13.4
37,2022-01-05 22:00:00,21.8,60,13.7
38,2022-01-05 22:30:00,21.6,56,12.5
39,2022-01-05 23:00:00,20.4,47,
40,2022-01-05 23:30:00,20.5,53,10.6
41,2022-01-06 00:00:00,20.3,54,10.7
42,2022-01-06 00:30:00,20.2,55,10.9
43,2022-01-06 01:00:00,20.0,56,11.0
44,2022-01-06 01:30:00,19.9,56,10.9
45,2022-01-06 02:00:00,19.7,57,11.0
46,2022-01-06 02:30:00,19.6,57,10.9
47,2022-01-06 03:00:00,19.5,57,10.8
48,2022-01-06 03:30:00,19.4,57,10.7
49,2022-01-06 04:00:00,19.3,57,10.6
50,2022-01-06 04:30:00,19.2,58,10.8
51,2022-01-06 05:00:00,19.2,58,10.8
52,2022-01-06 05:30:00,19.1,58,10.7
53,2022-01-06 06:00:00,19.0,58,10.6
54,2022-01-06 06:30:00,17.7,47,6.3
55,2022-01-06 07:00:00,19.5,50,8.8
56,2022-01-06 07:30:00,20.3,51,
57,2022-01-06 08:00:00,20.6,51,10.1
58,2022-01-06 08:30:00,20.8,52,10.6
59,2022-01-06 09:00:00,20.9,52,10.7
60,2022-01-06 09:30:00,21.0,54,11.4
61,2022-01-06 10:00:00,21.0,53,11.1
62,2022-01-06 10:30:00,21.3,53,11.4
63,2022-01-06 11:00:00,21.2,54,11.6
64,2022-01-06 11:30:00,21.3,55,11.9
65,2022-01-06 12:00:00,21.2,55,11.8
66,2022-01-06 12:30:00,21.3,56,12.2
67,2022-01-06 13:00:00,21.2,57,12.4
68,2022-01-06 13:30:00,21.2,57,12.4
69,2022-01-06 14:00:00,21.3,57,12.5
70,2022-01-06 14:30:00,21.3,57,12.5
71,2022-01-06 15:00:00,21.3,58,12.7
72,2022-01-06 15:30:00,21.2,58,12.6
73,2022-01-06 16:00:00,21.3,58,12.7
74,2022-01-06 16:30:00,20.6,53,10.7
75,2022-01-06 17:00:00,21.6,54,11.9
76,2022-01-06 17:30:00,21.3,56,12.2
77,2022-01-06 18:00:00,21.3,55,11.9
78,2022-01-06 18:30:00,21.1,55,11.7
79,2022-01-06 19:00:00,21.0,55,11.6
80,2022-01-06 19:30:00,21.0,54,11.4
81,2022-01-06 20:00:00,21.2,56,12.1
82,2022-01-06 20:30:00,21.3,62,13.8
83,2022-01-06 21:00:00,21.2,61,13.4
84,2022-01-06 21:30:00,21.0,61,13.2
85,2022-01-06 22:00:00,21.5,65,14.7
86,2022-01-06 22:30:00,20.4,56,11.4
87,2022-01-06 23:00:00,20.6,58,12.1
88,2022-01-06 23:30:00,20.5,59,12.2
89,2022-01-07 00:00:00,20.4,60,12.4
90,2022-01-07 00:30:00,20.2,60,12.2
91,2022-01-07 01:00:00,20.1,60,12.1
92,2022-01-07 01:30:00,20.0,61,12.3
93,2022-01-07 02:00:00,19.9,61,12.2
94,2022-01-07 02:30:00,19.8,61,12.1
95,2022-01-07 03:00:00,19.7,60,11.7
96,2022-01-07 03:30:00,19.6,61,11.9
97,2022-01-07 04:00:00,19.6,60,11.6
98,2022-01-07 04:30:00,19.5,60,11.6
99,2022-01-07 05:00:00,19.4,60,11.5
100,2022-01-07 05:30:00,19.4,60,11.5
101,2022-01-07 06:00:00,19.3,60,11.4
102,2022-01-07 06:30:00,18.3,51,
103,2022-01-07 07:00:00,20.1,56,11.1
104,2022-01-07 07:30:00,20.8,60,12.8
105,2022-01-07 08:00:00,20.8,60,12.8
106,2022-01-07 08:30:00,21.0,61,13.2
107,2022-01-07 09:00:00,20.9,59,12.6
108,2022-01-07 09:30:00,20.8,58,12.3
109,2022-01-07 10:00:00,20.9,59,12.6
110,2022-01-07 10:30:00,21.0,60,13.0
111,2022-01-07 11:00:00,20.9,60,12.9
112,2022-01-07 11:30:00,21.0,60,13.0
113,2022-01-07 12:00:00,21.0,60,13.0
114,2022-01-07 12:30:00,20.9,59,12.6
115,2022-01-07 13:00:00,20.8,59,12.5
116,2022-01-07 13:30:00,21.0,60,13.0
117,2022-01-07 14:00:00,21.1,61,13.3
118,2022-01-07 14:30:00,21.1,61,13.3
119,2022-01-07 15:00:00,21.1,61,13.3
120,2022-01-07 15:30:00,21.1,61,13.3
121,2022-01-07 16:00:00,20.0,52,
122,2022-01-07 16:30:00,21.0,55,11.6
123,2022-01-07 17:00:00,21.0,56,11.9
124,2022-01-07 17:30:00,21.4,64,14.3
125,2022-01-07 18:00:00,21.5,66,14.9
126,2022-01-07 18:30:00,21.3,65,14.5
127,2022-01-07 19:00:00,21.2,63,13.9
128,2022-01-07 19:30:00,21.2,63,13.9
129,2022-01-07 20:00:00,21.5,63,14.2
130,2022-01-07 20:30:00,21.8,67,15.4
131,2022-01-07 21:00:00,20.8,56,11.7
132,2022-01-07 21:30:00,21.8,60,13.7
133,2022-01-07 22:00:00,21.6,59,13.3
134,2022-01-07 22:30:00,21.6,60,13.5
135,2022-01-07 23:00:00,19.9,48,
136,2022-01-07 23:30:00,20.8,53,10.9
137,2022-01-08 00:00:00,20.9,55,11.5
138,2022-01-08 00:30:00,20.8,56,11.7
139,2022-01-08 01:00:00,20.6,57,11.8
140,2022-01-08 01:30:00,20.4,57,11.6
141,2022-01-08 02:00:00,20.3,58,11.8
142,2022-01-08 02:30:00,20.2,58,11.7
143,2022-01-08 03:00:00,20.1,59,11.9
144,2022-01-08 03:30:00,20.0,59,11.8
145,2022-01-08 04:00:00,20.0,60,12.0
146,2022-01-08 04:30:00,20.1,59,11.9
147,2022-01-08 05:00:00,20.5,59,12.2
148,2022-01-08 05:30:00,20.6,57,11.8
149,2022-01-08 06:00:00,20.7,56,11.6
150,2022-01-08 06:30:00,20.5,55,11.2
151,2022-01-08 07:00:00,20.1,49,9.1
152,2022-01-08 07:30:00,20.6,51,10.1
153,2022-01-08 08:00:00,20.5,52,10.3
154,2022-01-08 08:30:00,20.6,53,10.7
155,2022-01-08 09:00:00,20.6,54,11.0
156,2022-01-08 09:30:00,20.6,54,11.0
157,2022-01-08 10:00:00,18.6,43,5.8
158,2022-01-08 10:30:00,20.4,46,8.4
159,2022-01-08 11:00:00,21.0,48,9.6
160,2022-01-08 11:30:00,21.1,50,10.3
161,2022-01-08 12:00:00,21.0,51,10.5
162,2022-01-08 12:30:00,21.2,52,11.0
163,2022-01-08 13:00:00,21.2,53,11.3
164,2022-01-08 13:30:00,21.1,52,10.9
165,2022-01-08 14:00:00,21.1,52,10.9
166,2022-01-08 14:30:00,21.2,53,11.3
167,2022-01-08 15:00:00,21.1,54,11.5
168,2022-01-08 15:30:00,21.2,54,11.6
169,2022-01-08 16:00:00,21.2,55,11.8
170,2022-01-08 16:30:00,21.2,56,12.1
171,2022-01-08 17:00:00,21.3,57,12.5
172,2022-01-08 17:30:00,21.3,57,12.5
173,2022-01-08 18:00:00,21.4,60,13.3
174,2022-01-08 18:30:00,21.4,60,13.3
175,2022-01-08 19:00:00,21.4,60,13.3
176,2022-01-08 19:30:00,21.4,60,13.3
177,2022-01-08 20:00:00,21.3,60,13.2
178,2022-01-08 20:30:00,21.4,60,13.3
179,2022-01-08 21:00:00,21.4,60,13.3
180,2022-01-08 21:30:00,21.4,60,13.3
181,2022-01-08 22:00:00,21.4,59,13.1
182,2022-01-08 22:30:00,21.4,61,13.6
183,2022-01-08 23:00:00,21.3,63,14.0
184,2022-01-08 23:30:00,21.4,63,14.1
185,2022-01-09 00:00:00,21.4,64,14.3
186,2022-01-09 00:30:00,18.4,48,7.2
187,2022-01-09 01:00:00,19.2,49,
188,2022-01-09 01:30:00,19.2,48,7.9
189,2022-01-09 02:00:00,19.0,47,7.5
190,2022-01-09 02:30:00,18.9,46,7.1
191,2022-01-09 03:00:00,18.7,45,6.5
192,2022-01-09 03:30:00,18.6,44,6.1
193,2022-01-09 04:00:00,18.5,43,5.7
194,2022-01-09 04:30:00,18.4,43,5.6
195,2022-01-09 05:00:00,18.2,43,
196,2022-01-09 05:00:00,18.2,43,5.4
197,2022-01-09 06:00:00,18.1,43,
198,2022-01-09 06:30:00,18.0,43,5.3
199,2022-01-09 07:00:00,18.0,42,49.0
200,2022-01-09 07:30:00,17.9,42,4.8
201,2022-01-09 08:00:00,18.2,45,6.1
202,2022-01-09 08:30:00,19.5,46,7.6
203,2022-01-09 09:00:00,20.3,46,8.3
204,2022-01-09 09:30:00,20.5,47,8.8
205,2022-01-09 10:00:00,20.7,48,9.3
206,2022-01-09 10:30:00,20.8,50,10.0
207,2022-01-09 11:00:00,20.9,49,9.8
208,2022-01-09 11:30:00,21.0,50,10.2
209,2022-01-09 12:00:00,21.1,51,10.6
210,2022-01-09 12:30:00,21.0,49,
211,2022-01-09 13:00:00,20.8,50,10.0
212,2022-01-09 13:30:00,20.6,51,10.1
213,2022-01-09 14:00:00,20.8,54,11.2
214,2022-01-09 14:30:00,20.0,47,8.4
215,2022-01-09 15:00:00,20.8,51,10.3
216,2022-01-09 15:30:00,20.7,55,11.4
217,2022-01-09 16:00:00,20.9,58,12.4
218,2022-01-09 16:30:00,20.8,59,12.5
219,2022-01-09 17:00:00,20.8,61,13.0
220,2022-01-09 17:30:00,20.9,62,13.4
221,2022-01-09 18:00:00,20.6,62,13.1
222,2022-01-09 18:30:00,19.7,54,10.2
223,2022-01-09 19:00:00,20.5,58,12.0
224,2022-01-09 19:30:00,20.5,60,12.5
225,2022-01-09 20:00:00,20.6,61,12.8
226,2022-01-09 20:30:00,20.6,62,13.1
227,2022-01-09 21:00:00,20.6,62,13.1
228,2022-01-09 21:30:00,20.8,63,13.5
229,2022-01-09 22:00:00,20.7,63,13.4
230,2022-01-09 22:30:00,20.8,63,13.5
231,2022-01-09 23:00:00,20.7,64,13.7
232,2022-01-09 23:30:00,20.8,64,13.8
233,2022-01-10 00:00:00,18.7,51,
234,2022-01-10 00:30:00,19.4,53,9.6
235,2022-01-10 01:00:00,19.4,54,9.9
236,2022-01-10 01:30:00,19.2,53,9.4
237,2022-01-10 02:00:00,19.1,52,
238,2022-01-10 02:30:00,19.1,53,9.3
239,2022-01-10 03:00:00,19.0,53,9.2
240,2022-01-10 03:30:00,18.8,53,
241,2022-01-10 04:00:00,18.8,53,
242,2022-01-10 04:30:00,18.8,52,8.8
243,2022-01-10 05:00:00,18.7,52,
244,2022-01-10 05:30:00,18.6,51,8.3
245,2022-01-10 06:00:00,18.5,50,7.9
246,2022-01-10 06:30:00,18.4,50,7.8
247,2022-01-10 07:00:00,18.4,50,
248,2022-01-10 07:30:00,18.3,49,7.4
249,2022-01-10 08:00:00,18.4,50,7.8
250,2022-01-10 08:30:00,19.2,51,8.8
251,2022-01-10 09:00:00,19.7,52,9.6
252,2022-01-10 09:30:00,20.0,52,
253,2022-01-10 10:00:00,20.3,53,10.4
254,2022-01-10 10:30:00,20.4,54,10.8
255,2022-01-10 11:00:00,20.5,54,10.9
256,2022-01-10 11:30:00,20.0,52,
257,2022-01-10 12:00:00,20.4,54,10.8
258,2022-01-10 12:30:00,20.7,54,11.1
259,2022-01-10 13:00:00,20.8,54,11.2
260,2022-01-10 13:30:00,20.9,54,11.3
261,2022-01-10 14:00:00,21.1,56,12.0
262,2022-01-10 14:30:00,19.8,44,7.2
263,2022-01-10 15:00:00,19.7,48,8.4
264,2022-01-10 15:30:00,20.6,49,9.5
265,2022-01-10 16:00:00,21.0,50,10.2
266,2022-01-10 16:30:00,21.0,50,10.2
267,2022-01-10 17:00:00,21.2,51,10.7
268,2022-01-10 17:30:00,21.3,52,11.1
269,2022-01-10 18:00:00,21.1,52,10.9
270,2022-01-10 18:30:00,21.3,56,12.2
271,2022-01-10 19:00:00,21.5,59,13.2
272,2022-01-10 19:30:00,21.6,59,13.3
273,2022-01-10 20:00:00,21.6,59,13.3
274,2022-01-10 20:30:00,21.6,59,13.3
275,2022-01-10 21:00:00,21.5,60,13.4
276,2022-01-10 21:30:00,21.5,60,13.4
277,2022-01-10 22:00:00,21.5,59,13.2
278,2022-01-10 22:30:00,21.5,60,13.4
279,2022-01-10 23:00:00,20.3,49,9.3
280,2022-01-10 23:30:00,20.7,54,11.1
281,2022-01-11 00:00:00,20.6,54,11.0
282,2022-01-11 00:30:00,20.4,55,11.1
283,2022-01-11 01:00:00,20.3,56,11.3
284,2022-01-11 01:30:00,20.2,56,11.2
285,2022-01-11 02:00:00,20.1,56,11.1
286,2022-01-11 02:30:00,20.0,57,11.2
287,2022-01-11 03:00:00,19.9,57,11.2
288,2022-01-11 03:30:00,19.8,57,11.1
289,2022-01-11 04:00:00,19.8,57,11.1
290,2022-01-11 04:30:00,19.7,57,11.0
291,2022-01-11 05:00:00,19.6,57,10.9
292,2022-01-11 05:30:00,19.6,57,10.9
293,2022-01-11 06:00:00,19.5,57,10.8
294,2022-01-11 06:30:00,19.4,58,10.9
295,2022-01-11 07:00:00,19.4,58,10.9
296,2022-01-11 07:30:00,19.3,58,10.9
297,2022-01-11 08:00:00,19.4,58,10.9
298,2022-01-11 08:30:00,19.6,60,11.6
299,2022-01-11 09:00:00,19.6,60,11.6
300,2022-01-11 09:30:00,17.2,49,6.4
301,2022-01-11 10:00:00,18.4,53,8.7
302,2022-01-11 10:30:00,18.8,54,9.3
303,2022-01-11 11:00:00,18.9,55,
304,2022-01-11 11:30:00,18.8,56,9.9
305,2022-01-11 12:00:00,18.9,56,10.0
306,2022-01-11 12:30:00,18.9,56,10.0
307,2022-01-11 13:00:00,18.3,50,7.7
308,2022-01-11 13:30:00,19.6,52,9.5
309,2022-01-11 14:00:00,20.3,52,10.1
310,2022-01-11 14:30:00,20.7,52,10.5
311,2022-01-11 15:00:00,20.9,54,11.3
312,2022-01-11 15:30:00,21.0,54,11.4
313,2022-01-11 16:00:00,21.1,54,11.5
314,2022-01-11 16:30:00,21.2,55,11.8
315,2022-01-11 17:00:00,21.2,54,11.6
316,2022-01-11 17:30:00,16.8,41,3.5
317,2022-01-11 18:00:00,18.8,45,
318,2022-01-11 18:30:00,20.0,48,8.7
319,2022-01-11 19:00:00,21.4,48,10.0
320,2022-01-11 19:30:00,21.4,50,10.6
321,2022-01-11 20:00:00,21.4,50,10.6
322,2022-01-11 20:30:00,21.2,51,10.7
323,2022-01-11 21:00:00,21.2,55,11.8
324,2022-01-11 21:30:00,21.2,58,12.6
325,2022-01-11 22:00:00,21.3,60,13.2
326,2022-01-11 22:30:00,21.4,61,13.6
327,2022-01-11 23:00:00,21.4,61,13.6
328,2022-01-11 23:30:00,21.4,62,13.8
329,2022-01-12 00:00:00,21.6,63,14.3
330,2022-01-12 00:30:00,20.7,56,11.6
331,2022-01-12 01:00:00,20.2,56,11.2
332,2022-01-12 01:30:00,19.9,56,10.9
333,2022-01-12 02:00:00,19.6,56,10.6
334,2022-01-12 02:30:00,19.5,56,10.5
335,2022-01-12 03:00:00,19.3,56,10.3
336,2022-01-12 03:30:00,19.2,56,10.2
337,2022-01-12 04:00:00,19.1,56,10.1
338,2022-01-12 04:30:00,18.9,56,10.0
339,2022-01-12 05:00:00,18.8,56,9.9
340,2022-01-12 05:30:00,18.8,55,9.6
341,2022-01-12 06:00:00,18.7,56,9.8
342,2022-01-12 06:30:00,18.7,55,9.5
343,2022-01-12 07:00:00,18.6,55,9.4
344,2022-01-12 07:30:00,18.5,56,9.6
345,2022-01-12 08:00:00,18.4,56,9.5
346,2022-01-12 08:30:00,18.3,56,9.4
347,2022-01-12 09:00:00,18.4,54,8.9
348,2022-01-12 09:30:00,19.5,54,10.0
349,2022-01-12 10:00:00,20.1,54,10.5
350,2022-01-12 10:30:00,20.6,54,11.0
351,2022-01-12 11:00:00,20.6,55,11.3
352,2022-01-12 11:30:00,20.8,55,11.5
353,2022-01-12 12:00:00,20.9,55,11.5
354,2022-01-12 12:30:00,21.0,58,12.4
355,2022-01-12 13:00:00,21.2,58,12.6
356,2022-01-12 13:30:00,21.1,58,12.5
357,2022-01-12 14:00:00,21.2,58,12.6
358,2022-01-12 14:30:00,21.2,58,12.6
359,2022-01-12 15:00:00,19.6,51,9.2
360,2022-01-12 15:30:00,20.8,52,10.6
361,2022-01-12 16:00:00,21.0,54,11.4
362,2022-01-12 16:30:00,21.1,55,11.7
363,2022-01-12 17:00:00,21.1,56,12.0
364,2022-01-12 17:30:00,21.1,57,12.3
365,2022-01-12 18:00:00,21.0,55,11.6
366,2022-01-12 18:30:00,21.1,56,12.0
367,2022-01-12 19:00:00,21.1,56,12.0
368,2022-01-12 19:30:00,21.1,56,12.0
369,2022-01-12 20:00:00,21.3,57,12.5
370,2022-01-12 20:30:00,21.3,58,12.7
371,2022-01-12 21:00:00,21.4,58,12.8
372,2022-01-12 21:30:00,21.3,59,13.0
373,2022-01-12 22:00:00,21.4,59,13.1
374,2022-01-12 22:30:00,21.4,59,13.1
375,2022-01-12 23:00:00,21.4,59,13.1
376,2022-01-12 23:30:00,21.4,59,13.1
377,2022-01-13 00:00:00,19.7,51,9.3
378,2022-01-13 00:30:00,20.1,53,10.2
379,2022-01-13 01:00:00,20.0,54,10.4
380,2022-01-13 01:30:00,19.9,53,10.1
381,2022-01-13 02:00:00,19.8,53,10.0
